County,Income,TotalVote,Population,VoterProportion,PopDensity,LaborForce,Employment,Unemployment,Setting,Education,PopulationRange,DomIndustry
Louisa County,80343.00,24243.00,43051.00,0.56,87.00,19199.00,18624.00,575.00,1,0,1,0
Lunenburg County,54460.00,5909.00,12110.00,0.49,28.00,4702.00,4528.00,174.00,1,0,0,0
Lynchburg City,59808.00,37884.00,80149.00,0.47,1636.00,37728.00,36289.00,1439.00,1,0,2,1
Madison County,82972.00,8509.00,14368.00,0.59,45.00,7272.00,7088.00,184.00,1,0,0,0
Manassas City,117919.00,16272.00,42742.00,0.38,4274.00,24303.00,23705.00,598.00,1,0,1,0
Manassas Park City,100668.00,6041.00,15697.00,0.38,5232.00,10172.00,9926.00,246.00,1,0,0,0
Martinsville City,42434.00,5712.00,13895.00,0.41,1263.00,6194.00,5911.00,283.00,1,0,0,1
Mathews County,75487.00,5983.00,8642.00,0.69,100.00,3657.00,3547.00,110.00,1,0,0,1
Mecklenburg County,51691.00,16403.00,30890.00,0.53,49.00,14179.00,13709.00,470.00,1,0,1,0
Middlesex County,74154.00,6967.00,10868.00,0.64,84.00,4950.00,4810.00,140.00,1,0,0,1
Montgomery County,70769.00,47618.00,98346.00,0.48,254.00,51308.00,49752.00,1556.00,1,0,2,1
Nelson County,68525.00,9507.00,14621.00,0.65,31.00,7190.00,6997.00,193.00,1,0,0,1
New Kent County,120125.00,16862.00,28498.00,0.59,136.00,14201.00,13847.00,354.00,1,0,1,1
Newport News City,66718.00,77252.00,181394.00,0.43,2629.00,89837.00,86761.00,3076.00,1,0,2,1
Norfolk City,64017.00,86839.00,227674.00,0.38,4296.00,108301.00,104619.00,3682.00,1,0,2,1
Northampton County,55933.00,6930.00,12107.00,0.57,57.00,5449.00,5252.00,197.00,1,0,0,1
Northumberland County,69500.00,8271.00,12617.00,0.66,66.00,4597.00,4382.00,215.00,1,0,0,1
Norton City,38497.00,1657.00,3298.00,0.5,471.00,1511.00,1458.00,53.00,0,0,0,0
Nottoway County,62161.00,6891.00,15588.00,0.44,50.00,5873.00,5666.00,207.00,1,0,0,1
Orange County,94175.00,22514.00,39612.00,0.57,116.00,18568.00,18037.00,531.00,1,0,1,0
Page County,59396.00,13340.00,23669.00,0.56,76.00,12033.00,11606.00,427.00,1,0,0,0
Patrick County,50938.00,9776.00,17325.00,0.56,36.00,7735.00,7487.00,248.00,1,0,0,1
Petersburg City,50741.00,13324.00,33003.00,0.4,1435.00,15242.00,14505.00,737.00,1,0,1,0
Pittsylvania County,54115.00,34278.00,59065.00,0.58,61.00,28357.00,27400.00,957.00,1,0,2,1
Poquoson City,120919.00,8096.00,12657.00,0.64,844.00,6820.00,6655.00,165.00,1,0,0,0
Portsmouth City,58972.00,41786.00,96471.00,0.43,2923.00,44426.00,42747.00,1679.00,1,0,2,1
Powhatan County,110667.00,21035.00,33145.00,0.63,127.00,17471.00,17064.00,407.00,1,0,1,0
Prince Edward County,55082.00,9527.00,22349.00,0.43,64.00,8741.00,8343.00,398.00,1,0,0,0
Prince George County,88225.00,17724.00,42571.00,0.42,161.00,17169.00,16682.00,487.00,1,0,1,1
Prince William County,128873.00,229393.00,494896.00,0.46,1477.00,270786.00,263598.00,7188.00,1,0,2,0
Pulaski County,60767.00,17808.00,33599.00,0.53,105.00,16260.00,15751.00,509.00,1,0,1,1
Radford City,52791.00,6657.00,17475.00,0.38,1748.00,9006.00,8676.00,330.00,1,0,0,1
Rappahannock County,98125.00,5081.00,7336.00,0.69,28.00,3753.00,3656.00,97.00,1,0,0,1
Richmond City,62671.00,110040.00,231007.00,0.48,3850.00,131163.00,126903.00,4260.00,1,0,2,1
Richmond County,64184.00,4183.00,9300.00,0.45,49.00,3351.00,3227.00,124.00,1,0,0,1
Roanoke City,52671.00,42793.00,96199.00,0.44,2237.00,49009.00,47421.00,1588.00,1,0,2,0
Roanoke County,82931.00,57532.00,97566.00,0.59,389.00,50117.00,48768.00,1349.00,1,0,2,0
Rockbridge County,63975.00,12893.00,21938.00,0.59,37.00,11179.00,10886.00,293.00,1,0,0,0
Rockingham County,78468.00,49194.00,88876.00,0.55,105.00,46036.00,44894.00,1142.00,1,0,2,0
Russell County,49020.00,13688.00,25557.00,0.54,54.00,9447.00,9076.00,371.00,1,0,0,0
Salem City,66716.00,13275.00,25400.00,0.52,1693.00,13412.00,13027.00,385.00,1,0,0,0
Scott County,45136.00,11132.00,21339.00,0.52,40.00,8185.00,7904.00,281.00,1,0,0,1
Shenandoah County,64437.00,24538.00,45812.00,0.54,90.00,22120.00,21485.00,635.00,1,0,1,1
Smyth County,46859.00,14587.00,28832.00,0.51,64.00,12430.00,11965.00,465.00,1,0,1,1
Southampton County,68465.00,9902.00,18127.00,0.55,30.00,8149.00,7918.00,231.00,1,0,0,0
Spotsylvania County,109576.00,79722.00,155108.00,0.51,386.00,79801.00,77546.00,2255.00,1,0,2,0
Stafford County,133792.00,83924.00,169946.00,0.49,632.00,86113.00,83754.00,2359.00,1,0,2,0
Staunton City,62586.00,13705.00,25865.00,0.53,1293.00,13035.00,12673.00,362.00,1,0,0,0
Suffolk City,90089.00,53755.00,105125.00,0.51,263.00,49927.00,48438.00,1489.00,1,0,2,0
Surry County,71458.00,4465.00,6725.00,0.66,24.00,3387.00,3288.00,99.00,1,0,0,0
Sussex County,62821.00,4925.00,10991.00,0.45,22.00,4671.00,4505.00,166.00,1,0,0,1
Tazewell County,45788.00,20011.00,38234.00,0.52,74.00,14863.00,14242.00,621.00,1,0,1,0
Virginia Beach City,90685.00,230723.00,450809.00,0.51,1840.00,235565.00,229092.00,6473.00,1,0,2,0
Warren County,84331.00,22796.00,42721.00,0.53,199.00,21891.00,21291.00,600.00,1,0,1,0
Washington County,62774.00,29735.00,54440.00,0.55,97.00,24717.00,23954.00,763.00,1,0,1,0
Waynesboro City,56364.00,11372.00,23948.00,0.47,1597.00,11918.00,11593.00,325.00,1,0,0,0
Westmoreland County,59766.00,10664.00,19509.00,0.55,85.00,7746.00,7422.00,324.00,1,0,0,0
Williamsburg City,70206.00,7963.00,16171.00,0.49,1797.00,7124.00,6823.00,301.00,1,0,0,1
Winchester City,64648.00,11989.00,27129.00,0.44,3014.00,15240.00,14797.00,443.00,1,0,0,0
Wise County,50740.00,16872.00,34868.00,0.48,87.00,13242.00,12736.00,506.00,1,0,1,0
Wythe County,55359.00,15541.00,28082.00,0.55,61.00,14438.00,14007.00,431.00,1,0,1,1
York County,108326.00,40036.00,70528.00,0.57,672.00,33938.00,33022.00,916.00,1,1,2,0
